"Timeinfo","Level","Message","Light","Light Counter","Pressure","Disp Pressure","Pressure Counter","Temperature","Disp Pressure 5sec"
2023-08-17 17:34:01.813, [INFO],Case program initialized
2023-08-17 17:34:13.843, [INFO],Outside,0,0,0,0,0,0,0
2023-08-17 17:34:14.851, [INFO],Outside,472,1,0,0,0,0,0
2023-08-17 17:34:15.854, [INFO],Outside,470,3,0,0,0,0,0
2023-08-17 17:34:16.496, [INFO],Now Outside
2023-08-17 17:34:16.857, [INFO],Outside,515,0,0,0,0,0,0
2023-08-17 17:34:17.859, [INFO],Outside,460,2,0,0,0,0,0
2023-08-17 17:34:18.862, [INFO],Outside,485,4,0,0,0,0,0
2023-08-17 17:34:19.152, [INFO],Now Outside
2023-08-17 17:34:19.685, [INFO],Now Outside
2023-08-17 17:34:19.865, [INFO],Outside,500,0,0,0,0,0,0
2023-08-17 17:34:20.868, [INFO],Outside,464,2,0,0,0,0,0
2023-08-17 17:34:21.810, [INFO],Now Outside
2023-08-17 17:34:21.870, [INFO],Outside,512,0,0,0,0,0,0
2023-08-17 17:34:22.873, [INFO],Outside,454,1,0,0,0,0,0
2023-08-17 17:34:23.876, [INFO],Outside,477,3,0,0,0,0,0
2023-08-17 17:34:23.937, [INFO],Now Outside
2023-08-17 17:34:23.939, [INFO],Storage Succeeded
2023-08-17 17:34:24.878, [INFO],Storage,505,1,1006.445556640625,0,0,37.791666666666664,0
2023-08-17 17:34:25.531, [INFO],failed
2023-08-17 17:34:25.882, [INFO],Storage,461,0,1006.395263671875,-0.011149088541628771,0,37.8125,0
2023-08-17 17:34:26.884, [INFO],Storage,461,0,1006.395263671875,-0.011149088541628771,0,37.8125,0
2023-08-17 17:34:27.124, [INFO],failed
2023-08-17 17:34:27.889, [INFO],Storage,515,1,1006.369140625,-0.015299479166742458,0,37.81875,0
2023-08-17 17:34:28.718, [INFO],failed
2023-08-17 17:34:28.892, [INFO],Storage,454,0,1006.364013671875,-0.005533854166742458,0,37.81666666666666,0
2023-08-17 17:34:29.895, [INFO],Storage,454,0,1006.364013671875,-0.005533854166742458,0,37.81875,0
2023-08-17 17:34:30.898, [INFO],Storage,494,0,1006.429443359375,0.02775065104162877,1,37.829166666666666,0.02303059895837123
2023-08-17 17:34:31.901, [INFO],Storage,494,0,1006.362548828125,0.02775065104162877,1,37.81875,0.02303059895837123
2023-08-17 17:34:31.903, [INFO],failed
2023-08-17 17:34:32.906, [INFO],Storage,467,0,1006.39111328125,-0.059326171875,0,37.829166666666666,-0.031982421875
2023-08-17 17:34:33.909, [INFO],Storage,465,0,1006.3818359375,0.0224609375,1,37.833333333333336,0.04044596354162877
2023-08-17 17:34:34.912, [INFO],Storage,465,0,1006.415771484375,0.0224609375,1,37.797916666666666,0.04044596354162877
2023-08-17 17:34:35.915, [INFO],Storage,509,1,1006.43115234375,0.057373046875,2,37.83958333333334,0.030436197916742458
2023-08-17 17:34:36.681, [INFO],failed
2023-08-17 17:34:36.918, [INFO],Storage,493,0,1006.373046875,-0.00537109375,0,37.833333333333336,-0.04134114583337123
2023-08-17 17:34:37.922, [INFO],Storage,493,0,1006.373046875,-0.00537109375,0,37.84166666666667,-0.04134114583337123
2023-08-17 17:34:38.925, [INFO],Storage,455,0,1006.44091796875,0.05086263020837123,1,37.84375,0.007405598958371229
2023-08-17 17:34:39.865, [INFO],failed
2023-08-17 17:34:39.927, [INFO],Storage,492,0,1006.3876953125,-0.03548177083337123,0,37.83541666666667,-0.020182291666742458
2023-08-17 17:34:40.931, [INFO],Storage,492,0,1006.392333984375,-0.03548177083337123,0,37.85,-0.020182291666742458
2023-08-17 17:34:41.934, [INFO],Storage,511,1,1006.4111328125,0.05379231770837123,1,37.85208333333333,0.03914388020837123
2023-08-17 17:34:42.938, [INFO],Storage,511,1,1006.406494140625,0.05379231770837123,1,37.829166666666666,0.03914388020837123
2023-08-17 17:34:43.51 , [INFO],failed
2023-08-17 17:34:43.940, [INFO],Storage,458,0,1006.42529296875,-0.002604166666628771,0,37.85208333333333,-0.02018229166662877
2023-08-17 17:34:44.643, [INFO],failed
2023-08-17 17:34:44.943, [INFO],Storage,491,0,1006.41455078125,-0.027099609375,0,37.85208333333333,-0.014567057291742458
2023-08-17 17:34:45.946, [INFO],Storage,491,0,1006.41455078125,-0.027099609375,0,37.85208333333333,-0.014567057291742458
2023-08-17 17:34:46.949, [INFO],Storage,514,1,1006.37353515625,0.011311848958257542,1,37.858333333333334,0.01611328125
2023-08-17 17:34:47.954, [INFO],Storage,506,2,1006.433837890625,0.04777018229174246,2,37.854166666666664,0.013102213541742458
2023-08-17 17:34:48.957, [INFO],Storage,506,2,1006.433837890625,0.04777018229174246,2,37.85625,0.013102213541742458
2023-08-17 17:34:49.960, [INFO],Storage,475,0,1006.392822265625,0.00016276041662877105,3,37.858333333333334,-0.03401692708337123
2023-08-17 17:34:50.963, [INFO],Storage,475,0,1006.400390625,0.00016276041662877105,3,37.84375,-0.03401692708337123
2023-08-17 17:34:51.966, [INFO],Storage,455,0,1006.389404296875,0.008463541666628771,4,37.864583333333336,0.013671875
2023-08-17 17:34:52.603, [INFO],failed
2023-08-17 17:34:52.970, [INFO],Storage,508,1,1006.3994140625,-0.010823567708257542,0,37.864583333333336,-0.015055338541628771
2023-08-17 17:34:53.973, [INFO],Storage,508,1,1006.3994140625,-0.010823567708257542,0,37.864583333333336,-0.015055338541628771
2023-08-17 17:34:54.196, [INFO],failed
2023-08-17 17:34:54.976, [INFO],Storage,415,0,1006.383056640625,-0.02303059895837123,0,37.86666666666667,0.005533854166628771
2023-08-17 17:34:55.979, [INFO],Storage,576,1,1006.41259765625,0.023844401041742458,1,37.86666666666667,0.01936848958337123
2023-08-17 17:34:56.982, [INFO],Storage,576,1,1006.41259765625,0.023844401041742458,1,37.87083333333334,0.01936848958337123
2023-08-17 17:34:57.381, [INFO],failed
2023-08-17 17:34:57.986, [INFO],Storage,698,2,1006.388427734375,-0.02587890625,0,37.86875,-0.02327473958337123
2023-08-17 17:34:58.989, [INFO],Storage,676,2,1006.408203125,0.03670247395837123,1,37.858333333333334,0.02791341145837123
2023-08-17 17:34:59.991, [INFO],Storage,676,3,1006.4033203125,0.03670247395837123,1,37.86875,0.02791341145837123
2023-08-17 17:35:00.566, [INFO],failed
2023-08-17 17:35:00.994, [INFO],Storage,669,4,1006.4306640625,-0.01806640625,0,37.875,-0.04475911458337123
2023-08-17 17:35:01.997, [INFO],Storage,669,4,1006.372802734375,-0.01806640625,0,37.83958333333334,-0.04475911458337123
2023-08-17 17:35:03.2  , [INFO],Storage,690,5,1006.387939453125,0.02734375,1,37.87291666666667,0.038818359375
2023-08-17 17:35:04.4  , [INFO],Storage,624,6,1006.4443359375,0.05501302083337123,2,37.87291666666667,0.013997395833371229
2023-08-17 17:35:05.8  , [INFO],Storage,624,6,1006.4443359375,0.05501302083337123,2,37.87916666666666,0.013997395833371229
2023-08-17 17:35:06.12 , [INFO],Storage,616,7,1006.365234375,0.012776692708371229,3,37.87916666666666,0.005289713541628771
2023-08-17 17:35:07.15 , [INFO],Storage,552,8,1006.404296875,0.03987630208337123,4,37.864583333333336,-0.02237955729162877
2023-08-17 17:35:08.19 , [INFO],Storage,552,8,1006.4111328125,0.03987630208337123,4,37.88125,-0.02237955729162877
2023-08-17 17:35:09.22 , [INFO],Storage,576,9,1006.435302734375,0.03214518229162877,5,37.88333333333333,0.009847005208257542
2023-08-17 17:35:10.25 , [INFO],Storage,576,9,1006.3740234375,0.03214518229162877,5,37.860416666666666,0.009847005208257542
2023-08-17 17:35:11.27 , [INFO],Storage,556,10,1006.41455078125,-0.03556315104162877,5,37.8875,-0.03597005208325754
