"Timeinfo","Level","Message","Distance","Relative Altitude","Absolute Altitude","Latitude","Longitude"
2023-08-30 10:14:29.694, [INFO],Pixhawk initialized
2023-08-30 10:14:29.876, [INFO],Camera initialized
2023-08-30 10:14:34.35 , [INFO],['/dev/ttyACM0', '/dev/ttyAMA0']
2023-08-30 10:14:34.37 , [INFO],system_address: /dev/ttyACMO
2023-08-30 10:14:34.39 , [INFO],Waiting for drone to connect...
2023-08-30 10:14:35.615, [INFO],Connected Drone!
2023-08-30 10:14:35.617, [INFO],Waiting for drone to have a global position estimate...
2023-08-30 10:14:37.662, [INFO],-- Global position estimate OK
2023-08-30 10:14:37.664, [INFO],waiting for pixhawk to hold
2023-08-30 10:14:38.661, [INFO],--Holding
2023-08-30 10:14:39.664, [INFO],-- Hold
2023-08-30 10:14:44.800, [INFO],0.0,-1.0,0.0,0.0,0.0,0.0
2023-08-30 10:14:45.307, [INFO],0.0,0.0299812,0.539,7.4480004,35.796814,139.8918
2023-08-30 10:14:45.810, [INFO],HOLD,0.0199872,0.545,7.4540004,35.796814,139.8918
2023-08-30 10:14:46.314, [INFO],HOLD,0.029981,0.554,7.4630002,35.796814,139.8918
2023-08-30 10:14:46.819, [INFO],HOLD,0.0299808,0.556,7.4640002,35.796814,139.8918
2023-08-30 10:14:47.322, [INFO],HOLD,0.0299809,0.559,7.4670004,35.796814,139.8918
2023-08-30 10:14:47.826, [INFO],HOLD,0.029981,0.575,7.4830002,35.796814,139.8918
2023-08-30 10:14:48.330, [INFO],HOLD,0.029981,0.594,7.5020003,35.796814,139.8918
2023-08-30 10:14:48.825, [INFO],--Clear mission
2023-08-30 10:14:48.834, [INFO],HOLD,0.029981,0.603,7.5110001,35.796814,139.8918
2023-08-30 10:14:48.847, [INFO],-- Uploading mission
2023-08-30 10:14:48.880, [INFO],waiting for pixhawk to hold
2023-08-30 10:14:49.338, [INFO],HOLD,0.0299811,0.638,7.5470004,35.796814,139.8918
2023-08-30 10:14:49.661, [INFO],-- Hold
2023-08-30 10:14:50.665, [INFO],waiting for pixhawk to arm
2023-08-30 10:14:50.677, [INFO],HOLD,0.0299809,0.659,7.5670003,35.796814,139.8918
2023-08-30 10:14:51.181, [INFO],HOLD,0.0299806,0.72,7.6280002,35.796814,139.8918
2023-08-30 10:14:51.661, [INFO],--Arming
2023-08-30 10:14:51.684, [INFO],HOLD,0.0299809,0.734,7.6420001,35.796814,139.8918
2023-08-30 10:14:52.190, [INFO],HOLD,0.0299799,0.014,7.6590003,35.796814,139.8918
2023-08-30 10:14:52.660, [INFO],-- Arm
2023-08-30 10:14:53.665, [INFO],HOLD,0.0299801,0.029,7.6750001,35.796814,139.8918
2023-08-30 10:14:54.168, [INFO],HOLD,0.0299797,0.104,7.7500004,35.796814,139.8918
2023-08-30 10:14:54.672, [INFO],HOLD,0.0299796,0.123,7.7690005,35.796814,139.8918
2023-08-30 10:14:55.176, [INFO],HOLD,0.0299791,0.155,7.8000001,35.796814,139.8918
2023-08-30 10:14:55.678, [INFO],HOLD,0.0299791,0.173,7.8190002,35.796814,139.8918
2023-08-30 10:14:56.181, [INFO],HOLD,0.0299785,0.205,7.8510003,35.796814,139.8918
2023-08-30 10:14:56.684, [INFO],HOLD,0.0199857,0.232,7.8780002,35.796814,139.8918
2023-08-30 10:14:57.192, [INFO],HOLD,0.0299781,0.229,7.8750004,35.796814,139.8918
2023-08-30 10:14:57.699, [INFO],HOLD,0.0299781,0.224,7.8700003,35.796814,139.8918
2023-08-30 10:14:58.203, [INFO],HOLD,0.0299783,0.226,7.8720002,35.796814,139.8918
2023-08-30 10:14:58.663, [INFO],--Start mission
2023-08-30 10:14:58.705, [INFO],HOLD,0.0299781,0.22,7.8660001,35.796814,139.8918
