"Timeinfo","Level","Message","Light","Pressure","Disp Pressure","Light Counter","Pressure Counter"
2023-09-03 17:14:49.691, [INFO],Pixhawk initialized
2023-09-03 17:14:49.961, [INFO],Camera initialized
2023-09-03 17:14:50.123, [INFO],['/dev/ttyACM0']
2023-09-03 17:14:50.124, [INFO],system_address: /dev/ttyACMO
2023-09-03 17:14:50.125, [INFO],Waiting for drone to connect...
2023-09-03 17:14:50.241, [INFO],Connected Drone!
2023-09-03 17:14:50.243, [INFO],Waiting for drone to have a global position estimate...
2023-09-03 17:14:51.184, [INFO],-- Global position estimate OK
2023-09-03 17:14:51.185, [INFO],waiting for pixhawk to hold
2023-09-03 17:14:52.193, [INFO],--Holding
2023-09-03 17:14:53.188, [INFO],-- Hold
2023-09-03 17:15:02.230, [INFO],0.0,-1.0,0.0,0.0,0.0,0.0
2023-09-03 17:15:02.732, [INFO],0.0,0.0299181,0.079,-0.131999,35.792648,139.8905
2023-09-03 17:15:03.234, [INFO],HOLD,0.0199453,0.063,-0.148,35.792648,139.8905
2023-09-03 17:15:03.737, [INFO],HOLD,0.0299182,0.044,-0.167,35.792648,139.8905
2023-09-03 17:15:04.239, [INFO],HOLD,0.0199454,0.042,-0.169,35.792648,139.8905
2023-09-03 17:15:04.742, [INFO],HOLD,0.0199453,0.045,-0.166,35.792648,139.8905
2023-09-03 17:15:05.245, [INFO],HOLD,0.0199454,0.043,-0.168,35.792648,139.8905
2023-09-03 17:15:05.747, [INFO],HOLD,0.0199455,0.049,-0.162,35.792648,139.8905
2023-09-03 17:15:06.231, [INFO],--Clear mission
2023-09-03 17:15:06.249, [INFO],HOLD,0.0199456,0.054,-0.157,35.792648,139.8905
2023-09-03 17:15:06.259, [INFO],-- Uploading mission
2023-09-03 17:15:06.289, [INFO],waiting for pixhawk to hold
2023-09-03 17:15:06.753, [INFO],HOLD,0.0199456,0.068,-0.143,35.792648,139.8905
2023-09-03 17:15:07.198, [INFO],-- Hold
2023-09-03 17:15:08.201, [INFO],waiting for pixhawk to arm
2023-09-03 17:15:08.209, [INFO],HOLD,0.0299182,0.074,-0.137,35.792648,139.8905
2023-09-03 17:15:08.712, [INFO],HOLD,0.0199453,0.122,-0.09,35.792648,139.8905
2023-09-03 17:15:09.199, [INFO],--Arming
2023-09-03 17:15:09.214, [INFO],HOLD,0.0199454,0.129,-0.082,35.792648,139.8905
2023-09-03 17:15:09.718, [INFO],HOLD,0.0299205,0.007,-0.074,35.792648,139.8905
2023-09-03 17:15:10.196, [INFO],-- Arm
2023-09-03 17:15:11.202, [INFO],HOLD,0.0299193,0.005,-0.043,35.792648,139.8905
2023-09-03 17:15:11.705, [INFO],HOLD,0.0299168,0.021,-0.027,35.792647,139.8905
2023-09-03 17:15:12.208, [INFO],HOLD,0.0299107,0.014,-0.034,35.792647,139.8905
2023-09-03 17:15:12.712, [INFO],HOLD,0.0299128,0.008,-0.04,35.792647,139.8905
2023-09-03 17:15:13.214, [INFO],HOLD,0.019943,-0.009,-0.058,35.792647,139.8905
2023-09-03 17:15:13.716, [INFO],HOLD,0.0299159,-0.037,-0.086,35.792647,139.8905
2023-09-03 17:15:14.218, [INFO],HOLD,0.0299163,-0.064,-0.113,35.792647,139.8905
2023-09-03 17:15:14.721, [INFO],HOLD,0.0299168,-0.077,-0.126,35.792647,139.8905
2023-09-03 17:15:15.225, [INFO],HOLD,0.0199445,-0.085,-0.134,35.792646,139.8905
2023-09-03 17:15:15.727, [INFO],HOLD,0.0199445,-0.1,-0.149,35.792646,139.8905
