"Timeinfo","Level","Message","Light","Pressure","Disp Pressure","Light Counter","Pressure Counter"
2023-09-09 11:26:27.235, [INFO],Pixhawk initialized
2023-09-09 11:26:27.238, [INFO],Case program initialized
2023-09-09 11:26:39.266, [INFO],Outside,0,0,0,0,0
2023-09-09 11:26:40.271, [INFO],Judge Storage:L2,63,0,0,2,0
2023-09-09 11:26:41.274, [INFO],Judge Storage:L4,46,0,0,4,0
2023-09-09 11:26:42.277, [INFO],Judge Storage:L6,46,0,0,6,0
2023-09-09 11:26:43.279, [INFO],Judge Storage:L8,45,0,0,8,0
2023-09-09 11:26:44.282, [INFO],Judge Storage:L9,46,0,0,9,0
2023-09-09 11:26:45.287, [INFO],Judge Storage:L11,64,0,0,11,0
2023-09-09 11:26:46.289, [INFO],Judge Storage:L13,48,0,0,13,0
2023-09-09 11:26:47.292, [INFO],Judge Storage:L15,47,0,0,15,0
2023-09-09 11:26:48.295, [INFO],Judge Storage:L16,46,0,0,16,0
2023-09-09 11:26:49.297, [INFO],Judge Storage:L18,47,0,0,18,0
2023-09-09 11:26:50.302, [INFO],Judge Storage:L20,47,0,0,20,0
2023-09-09 11:26:51.305, [INFO],Judge Storage:L22,49,0,0,22,0
2023-09-09 11:26:52.307, [INFO],Judge Storage:L24,353,0,0,24,0
2023-09-09 11:26:53.310, [INFO],Judge Storage:L25,369,0,0,25,0
2023-09-09 11:26:54.313, [INFO],Judge Storage:L27,361,0,0,27,0
2023-09-09 11:26:55.317, [INFO],Judge Storage:L29,372,0,0,29,0
2023-09-09 11:26:56.320, [INFO],Judge Storage:L31,355,0,0,31,0
2023-09-09 11:26:57.323, [INFO],Judge Storage:L33,353,0,0,33,0
2023-09-09 11:26:58.326, [INFO],Judge Storage:L34,360,0,0,34,0
2023-09-09 11:26:59.329, [INFO],Judge Storage:L36,349,0,0,36,0
2023-09-09 11:27:00.333, [INFO],Judge Storage:L38,366,0,0,38,0
2023-09-09 11:27:01.336, [INFO],Judge Storage:L40,370,0,0,40,0
2023-09-09 11:27:02.339, [INFO],Judge Storage:L42,349,0,0,42,0
2023-09-09 11:27:03.341, [INFO],Judge Storage:L43,371,0,0,43,0
2023-09-09 11:27:04.344, [INFO],Judge Storage:L45,353,0,0,45,0
2023-09-09 11:27:05.349, [INFO],Judge Storage:L47,355,0,0,47,0
2023-09-09 11:27:06.351, [INFO],Judge Storage:L49,370,0,0,49,0
2023-09-09 11:27:07.354, [INFO],Judge Storage:L50,360,0,0,50,0
2023-09-09 11:27:08.357, [INFO],Judge Storage:L52,368,0,0,52,0
2023-09-09 11:27:09.359, [INFO],Judge Storage:L54,367,0,0,54,0
2023-09-09 11:27:10.365, [INFO],Judge Storage:L56,347,0,0,56,0
2023-09-09 11:27:11.368, [INFO],Judge Storage:L58,363,0,0,58,0
2023-09-09 11:27:12.371, [INFO],Judge Storage:L59,348,0,0,59,0
2023-09-09 11:27:13.373, [INFO],Judge Storage:L61,360,0,0,61,0
2023-09-09 11:27:14.376, [INFO],Judge Storage:L63,371,0,0,63,0
2023-09-09 11:27:15.380, [INFO],Judge Storage:L65,353,0,0,65,0
2023-09-09 11:27:16.383, [INFO],Judge Storage:L67,355,0,0,67,0
2023-09-09 11:27:17.385, [INFO],Judge Storage:L68,358,0,0,68,0
2023-09-09 11:27:18.388, [INFO],Judge Storage:L70,358,0,0,70,0
2023-09-09 11:27:19.391, [INFO],Judge Storage:L72,373,0,0,72,0
2023-09-09 11:27:20.395, [INFO],Judge Storage:L74,363,0,0,74,0
2023-09-09 11:27:21.398, [INFO],Judge Storage:L75,349,0,0,75,0
