"Timeinfo","Level","Message","Distance","Relative Altitude","Absolute Altitude","Latitude","Longitude"
2023-09-13 01:45:06.379, [INFO],Case program initialized
2023-09-13 01:45:06.545, [INFO],Camera initialized
2023-09-13 01:45:14.567, [INFO],Outside,0,0,0,0,0
2023-09-13 01:45:15.188, [INFO],Still Outside
2023-09-13 01:45:15.572, [INFO],Judge Storage:L,586,0,0,0,0
2023-09-13 01:45:15.751, [INFO],Still Outside
2023-09-13 01:45:16.313, [INFO],Still Outside
2023-09-13 01:45:16.575, [INFO],Judge Storage:L,571,0,0,0,0
2023-09-13 01:45:16.876, [INFO],Still Outside
2023-09-13 01:45:17.439, [INFO],Still Outside
2023-09-13 01:45:17.577, [INFO],Judge Storage:L,607,0,0,0,0
2023-09-13 01:45:18.1  , [INFO],Still Outside
2023-09-13 01:45:18.564, [INFO],Still Outside
2023-09-13 01:45:18.580, [INFO],Judge Storage:L,649,0,0,0,0
2023-09-13 01:45:19.127, [INFO],Still Outside
2023-09-13 01:45:19.582, [INFO],Judge Storage:L,655,0,0,0,0
2023-09-13 01:45:19.689, [INFO],Still Outside
2023-09-13 01:45:20.252, [INFO],Still Outside
2023-09-13 01:45:20.585, [INFO],Judge Storage:L,642,0,0,0,0
2023-09-13 01:45:20.815, [INFO],Still Outside
2023-09-13 01:45:21.377, [INFO],Still Outside
2023-09-13 01:45:21.587, [INFO],Judge Storage:L,706,0,0,0,0
2023-09-13 01:45:21.940, [INFO],Still Outside
2023-09-13 01:45:22.503, [INFO],Still Outside
2023-09-13 01:45:22.590, [INFO],Judge Storage:L,711,0,0,0,0
2023-09-13 01:45:23.73 , [INFO],Still Outside
2023-09-13 01:45:23.593, [INFO],Judge Storage:L,692,0,0,0,0
2023-09-13 01:45:23.635, [INFO],Still Outside
2023-09-13 01:45:24.198, [INFO],Still Outside
2023-09-13 01:45:24.595, [INFO],Judge Storage:L,679,0,0,0,0
2023-09-13 01:45:24.761, [INFO],Still Outside
2023-09-13 01:45:25.324, [INFO],Still Outside
2023-09-13 01:45:25.598, [INFO],Judge Storage:L,672,0,0,0,0
2023-09-13 01:45:25.886, [INFO],Still Outside
2023-09-13 01:45:26.449, [INFO],Still Outside
2023-09-13 01:45:26.600, [INFO],Judge Storage:L,692,0,0,0,0
2023-09-13 01:45:27.12 , [INFO],Still Outside
2023-09-13 01:46:17.496, [INFO],Still Outside
2023-09-13 01:46:17.525, [INFO],Judge Storage:L,635,0,0,0,0
2023-09-13 01:46:18.59 , [INFO],Still Outside
2023-09-13 01:46:18.528, [INFO],Judge Storage:L,636,0,0,0,0
2023-09-13 01:46:18.622, [INFO],Still Outside
2023-09-13 01:46:19.184, [INFO],Still Outside
2023-09-13 01:46:19.530, [INFO],Judge Storage:L,679,0,0,0,0
2023-09-13 01:46:19.747, [INFO],Still Outside
2023-09-13 01:46:20.310, [INFO],Still Outside
2023-09-13 01:46:20.533, [INFO],Judge Storage:L,647,0,0,0,0
2023-09-13 01:46:20.872, [INFO],Still Outside
2023-09-13 01:46:21.435, [INFO],Still Outside
2023-09-13 01:46:21.536, [INFO],Judge Storage:L,572,0,0,0,0
2023-09-13 01:46:21.998, [INFO],Still Outside
2023-09-13 01:46:22.538, [INFO],Judge Storage:L,529,0,0,0,0
2023-09-13 01:46:22.560, [INFO],Still Outside
2023-09-13 01:46:23.123, [INFO],Still Outside
2023-09-13 01:46:23.541, [INFO],Judge Storage:L,574,0,0,0,0
2023-09-13 01:46:23.686, [INFO],Still Outside
2023-09-13 01:46:24.248, [INFO],Still Outside
2023-09-13 01:46:24.543, [INFO],Judge Storage:L,540,0,0,0,0
2023-09-13 01:46:24.811, [INFO],Still Outside
2023-09-13 01:46:25.374, [INFO],Still Outside
2023-09-13 01:46:25.546, [INFO],Judge Storage:L,522,0,0,0,0
2023-09-13 01:46:25.936, [INFO],Still Outside
2023-09-13 01:46:26.548, [INFO],Judge Storage:L,448,0,0,1,0
2023-09-13 01:46:27.551, [INFO],Judge Storage:L,457,0,0,2,0
2023-09-13 01:46:28.182, [INFO],Still Outside
2023-09-13 01:46:28.559, [INFO],Judge Storage:L,513,0,0,0,0
2023-09-13 01:46:28.745, [INFO],Still Outside
2023-09-13 01:46:29.308, [INFO],Still Outside
2023-09-13 01:46:29.562, [INFO],Judge Storage:L,509,0,0,0,0
2023-09-13 01:46:29.870, [INFO],Still Outside
2023-09-13 01:46:30.433, [INFO],Still Outside
2023-09-13 01:46:30.565, [INFO],Judge Storage:L,623,0,0,0,0
2023-09-13 01:46:30.996, [INFO],Still Outside
2023-09-13 01:46:31.558, [INFO],Still Outside
2023-09-13 01:46:31.567, [INFO],Judge Storage:L,625,0,0,0,0
2023-09-13 01:46:32.121, [INFO],Still Outside
2023-09-13 01:46:32.570, [INFO],Judge Storage:L,617,0,0,0,0
2023-09-13 01:46:32.684, [INFO],Still Outside
2023-09-13 01:46:33.247, [INFO],Still Outside
2023-09-13 01:46:33.579, [INFO],Judge Storage:L,614,0,0,0,0
2023-09-13 01:46:33.810, [INFO],Still Outside
2023-09-13 01:46:34.372, [INFO],Still Outside
2023-09-13 01:46:34.581, [INFO],Judge Storage:L,601,0,0,0,0
2023-09-13 01:46:34.935, [INFO],Still Outside
2023-09-13 01:46:35.498, [INFO],Still Outside
2023-09-13 01:46:35.584, [INFO],Judge Storage:L,602,0,0,0,0
2023-09-13 01:46:36.60 , [INFO],Still Outside
2023-09-13 01:46:36.587, [INFO],Judge Storage:L,574,0,0,0,0
2023-09-13 01:46:36.623, [INFO],Still Outside
2023-09-13 01:46:37.186, [INFO],Still Outside
2023-09-13 01:46:37.589, [INFO],Judge Storage:L,608,0,0,0,0
2023-09-13 01:46:37.748, [INFO],Still Outside
2023-09-13 01:46:38.311, [INFO],Still Outside
2023-09-13 01:46:38.596, [INFO],Judge Storage:L,652,0,0,0,0
2023-09-13 01:46:38.874, [INFO],Still Outside
2023-09-13 01:46:39.436, [INFO],Still Outside
2023-09-13 01:46:39.599, [INFO],Judge Storage:L,560,0,0,0,0
2023-09-13 01:46:40.601, [INFO],Judge Storage:L,362,0,0,2,0
2023-09-13 01:46:41.604, [INFO],Judge Storage:L,387,0,0,3,0
2023-09-13 01:46:42.606, [INFO],Judge Storage:L,272,0,0,5,0
2023-09-13 01:46:43.615, [INFO],Judge Storage:L,32,0,0,7,0
2023-09-13 01:46:44.617, [INFO],Judge Storage:L,18,0,0,9,0
2023-09-13 01:46:45.620, [INFO],Judge Storage:L,17,0,0,11,0
2023-09-13 01:46:46.622, [INFO],Judge Storage:L,18,0,0,12,0
2023-09-13 01:46:47.625, [INFO],Judge Storage:L,23,0,0,14,0
2023-09-13 01:46:48.633, [INFO],Judge Storage:L,20,0,0,16,0
2023-09-13 01:46:49.635, [INFO],Judge Storage:L,21,0,0,18,0
2023-09-13 01:46:50.638, [INFO],Judge Storage:L,21,0,0,19,0
2023-09-13 01:46:51.640, [INFO],Judge Storage:L,20,0,0,21,0
2023-09-13 01:46:52.642, [INFO],Judge Storage:L,21,0,0,23,0
2023-09-13 01:46:53.649, [INFO],Judge Storage:L,20,0,0,25,0
2023-09-13 01:46:54.652, [INFO],Judge Storage:L,23,0,0,27,0
2023-09-13 01:46:55.654, [INFO],Judge Storage:L,26,0,0,28,0
2023-09-13 01:46:56.656, [INFO],Judge Storage:L,22,0,0,30,0
2023-09-13 01:46:57.659, [INFO],Judge Storage:L,19,0,0,32,0
2023-09-13 01:46:58.667, [INFO],Judge Storage:L,18,0,0,34,0
2023-09-13 01:46:59.669, [INFO],Judge Storage:L,18,0,0,36,0
2023-09-13 01:47:00.672, [INFO],Judge Storage:L,18,0,0,37,0
2023-09-13 01:47:01.675, [INFO],Judge Storage:L,18,0,0,39,0
2023-09-13 01:47:02.677, [INFO],Judge Storage:L,18,0,0,41,0
2023-09-13 01:47:03.684, [INFO],Judge Storage:L,19,0,0,43,0
2023-09-13 01:47:04.687, [INFO],Judge Storage:L,19,0,0,44,0
2023-09-13 01:47:05.689, [INFO],Judge Storage:L,20,0,0,46,0
2023-09-13 01:47:06.691, [INFO],Judge Storage:L,20,0,0,48,0
2023-09-13 01:47:07.693, [INFO],Judge Storage:L,20,0,0,50,0
2023-09-13 01:47:08.700, [INFO],Judge Storage:L,21,0,0,52,0
2023-09-13 01:47:09.702, [INFO],Judge Storage:L,30,0,0,53,0
2023-09-13 01:47:10.705, [INFO],Judge Storage:L,30,0,0,55,0
2023-09-13 01:47:11.707, [INFO],Judge Storage:L,25,0,0,57,0
2023-09-13 01:47:12.709, [INFO],Judge Storage:L,36,0,0,59,0
2023-09-13 01:47:13.716, [INFO],Judge Storage:L,32,0,0,61,0
2023-09-13 01:47:14.719, [INFO],Judge Storage:L,22,0,0,62,0
2023-09-13 01:47:15.721, [INFO],Judge Storage:L,20,0,0,64,0
2023-09-13 01:47:16.724, [INFO],Judge Storage:L,20,0,0,66,0
2023-09-13 01:47:17.726, [INFO],Judge Storage:L,20,0,0,68,0
2023-09-13 01:47:18.733, [INFO],Judge Storage:L,21,0,0,70,0
2023-09-13 01:47:19.736, [INFO],Judge Storage:L,21,0,0,71,0
2023-09-13 01:47:20.739, [INFO],Judge Storage:L,21,0,0,73,0
2023-09-13 01:47:21.741, [INFO],Judge Storage:L,23,0,0,75,0
2023-09-13 01:47:22.744, [INFO],Judge Storage:L,22,0,0,77,0
2023-09-13 01:47:23.751, [INFO],Judge Storage:L,21,0,0,78,0
2023-09-13 01:47:24.754, [INFO],Judge Storage:L,22,0,0,80,0
2023-09-13 01:47:25.757, [INFO],Judge Storage:L,24,0,0,82,0
2023-09-13 01:47:26.759, [INFO],Judge Storage:L,20,0,0,84,0
2023-09-13 01:47:27.762, [INFO],Judge Storage:L,18,0,0,86,0
2023-09-13 01:47:28.768, [INFO],Judge Storage:L,17,0,0,87,0
2023-09-13 01:47:29.771, [INFO],Judge Storage:L,17,0,0,89,0
2023-09-13 01:47:30.774, [INFO],Judge Storage:L,16,0,0,91,0
2023-09-13 01:47:31.776, [INFO],Judge Storage:L,19,0,0,93,0
2023-09-13 01:47:32.779, [INFO],Judge Storage:L,24,0,0,95,0
2023-09-13 01:47:33.786, [INFO],Judge Storage:L,24,0,0,96,0
2023-09-13 01:47:34.788, [INFO],Judge Storage:L,40,0,0,98,0
2023-09-13 01:47:35.791, [INFO],Judge Storage:L,45,0,0,100,0
2023-09-13 01:47:36.794, [INFO],Judge Storage:L,32,0,0,102,0
2023-09-13 01:47:37.796, [INFO],Judge Storage:L,40,0,0,104,0
2023-09-13 01:47:38.804, [INFO],Judge Storage:L,42,0,0,105,0
2023-09-13 01:47:39.806, [INFO],Judge Storage:L,32,0,0,107,0
2023-09-13 01:47:40.809, [INFO],Judge Storage:L,29,0,0,109,0
2023-09-13 01:47:41.811, [INFO],Judge Storage:L,27,0,0,111,0
2023-09-13 01:47:42.814, [INFO],Judge Storage:L,27,0,0,112,0
2023-09-13 01:47:43.820, [INFO],Judge Storage:L,28,0,0,114,0
2023-09-13 01:47:44.823, [INFO],Judge Storage:L,34,0,0,116,0
2023-09-13 01:47:45.826, [INFO],Judge Storage:L,35,0,0,118,0
2023-09-13 01:47:46.828, [INFO],Judge Storage:L,36,0,0,120,0
2023-09-13 01:47:47.831, [INFO],Judge Storage:L,23,0,0,121,0
2023-09-13 01:47:48.850, [INFO],Judge Storage:L,21,0,0,123,0
2023-09-13 01:47:49.853, [INFO],Judge Storage:L,17,0,0,125,0
2023-09-13 01:47:50.855, [INFO],Judge Storage:L,16,0,0,127,0
2023-09-13 01:47:51.858, [INFO],Judge Storage:L,17,0,0,129,0
2023-09-13 01:47:52.860, [INFO],Judge Storage:L,16,0,0,130,0
2023-09-13 01:47:53.868, [INFO],Judge Storage:L,17,0,0,132,0
2023-09-13 01:47:54.870, [INFO],Judge Storage:L,17,0,0,134,0
2023-09-13 01:47:55.873, [INFO],Judge Storage:L,16,0,0,136,0
2023-09-13 01:47:56.876, [INFO],Judge Storage:L,17,0,0,137,0
2023-09-13 01:47:57.878, [INFO],Judge Storage:L,18,0,0,139,0
2023-09-13 01:47:58.887, [INFO],Judge Storage:L,17,0,0,141,0
2023-09-13 01:47:59.890, [INFO],Judge Storage:L,17,0,0,143,0
2023-09-13 01:48:00.892, [INFO],Judge Storage:L,17,0,0,145,0
2023-09-13 01:48:01.895, [INFO],Judge Storage:L,17,0,0,146,0
2023-09-13 01:48:02.897, [INFO],Judge Storage:L,17,0,0,148,0
2023-09-13 01:48:03.904, [INFO],Judge Storage:L,16,0,0,150,0
2023-09-13 01:48:04.907, [INFO],Judge Storage:L,17,0,0,152,0
2023-09-13 01:48:05.910, [INFO],Judge Storage:L,17,0,0,154,0
2023-09-13 01:48:06.912, [INFO],Judge Storage:L,17,0,0,155,0
2023-09-13 01:48:07.915, [INFO],Judge Storage:L,17,0,0,157,0
2023-09-13 01:48:08.923, [INFO],Judge Storage:L,17,0,0,159,0
2023-09-13 01:48:09.925, [INFO],Judge Storage:L,17,0,0,161,0
2023-09-13 01:48:10.928, [INFO],Judge Storage:L,17,0,0,163,0
2023-09-13 01:48:11.930, [INFO],Judge Storage:L,17,0,0,164,0
2023-09-13 01:48:12.933, [INFO],Judge Storage:L,17,0,0,166,0
2023-09-13 01:48:13.940, [INFO],Judge Storage:L,17,0,0,168,0
2023-09-13 01:48:14.943, [INFO],Judge Storage:L,16,0,0,170,0
2023-09-13 01:48:15.945, [INFO],Judge Storage:L,17,0,0,171,0
2023-09-13 01:48:16.948, [INFO],Judge Storage:L,16,0,0,173,0
2023-09-13 01:48:17.951, [INFO],Judge Storage:L,21,0,0,175,0
2023-09-13 01:48:18.957, [INFO],Judge Storage:L,28,0,0,177,0
2023-09-13 01:48:19.960, [INFO],Judge Storage:L,30,0,0,179,0
2023-09-13 01:48:20.963, [INFO],Judge Storage:L,22,0,0,180,0
2023-09-13 01:48:21.965, [INFO],Judge Storage:L,23,0,0,182,0
2023-09-13 01:48:22.968, [INFO],Judge Storage:L,24,0,0,184,0
2023-09-13 01:48:23.976, [INFO],Judge Storage:L,24,0,0,186,0
2023-09-13 01:48:24.978, [INFO],Judge Storage:L,44,0,0,188,0
2023-09-13 01:48:25.981, [INFO],Judge Storage:L,41,0,0,189,0
2023-09-13 01:48:26.984, [INFO],Judge Storage:L,34,0,0,191,0
2023-09-13 01:48:27.986, [INFO],Judge Storage:L,33,0,0,193,0
2023-09-13 01:48:28.994, [INFO],Judge Storage:L,28,0,0,195,0
2023-09-13 01:48:29.996, [INFO],Judge Storage:L,41,0,0,197,0
2023-09-13 01:48:30.999, [INFO],Judge Storage:L,40,0,0,198,0
2023-09-13 01:48:32.1  , [INFO],Judge Storage:L,24,0,0,200,0
2023-09-13 01:48:33.4  , [INFO],Judge Storage:L,35,0,0,202,0
2023-09-13 01:48:34.12 , [INFO],Judge Storage:L,38,0,0,204,0
2023-09-13 01:48:35.14 , [INFO],Judge Storage:L,33,0,0,205,0
2023-09-13 01:48:36.17 , [INFO],Judge Storage:L,38,0,0,207,0
2023-09-13 01:48:37.19 , [INFO],Judge Storage:L,24,0,0,209,0
2023-09-13 01:48:38.22 , [INFO],Judge Storage:L,25,0,0,211,0
2023-09-13 01:48:39.29 , [INFO],Judge Storage:L,27,0,0,213,0
2023-09-13 01:48:40.32 , [INFO],Judge Storage:L,31,0,0,214,0
2023-09-13 01:48:41.35 , [INFO],Judge Storage:L,22,0,0,216,0
2023-09-13 01:48:42.37 , [INFO],Judge Storage:L,22,0,0,218,0
2023-09-13 01:48:43.40 , [INFO],Judge Storage:L,23,0,0,220,0
2023-09-13 01:48:44.47 , [INFO],Judge Storage:L,19,0,0,222,0
2023-09-13 01:48:45.50 , [INFO],Judge Storage:L,18,0,0,223,0
2023-09-13 01:48:46.52 , [INFO],Judge Storage:L,19,0,0,225,0
2023-09-13 01:48:47.55 , [INFO],Judge Storage:L,18,0,0,227,0
2023-09-13 01:48:48.57 , [INFO],Judge Storage:L,19,0,0,229,0
2023-09-13 01:48:49.64 , [INFO],Judge Storage:L,19,0,0,230,0
2023-09-13 01:48:50.67 , [INFO],Judge Storage:L,18,0,0,232,0
2023-09-13 01:48:51.69 , [INFO],Judge Storage:L,17,0,0,234,0
2023-09-13 01:48:52.72 , [INFO],Judge Storage:L,18,0,0,236,0
2023-09-13 01:48:53.74 , [INFO],Judge Storage:L,18,0,0,238,0
2023-09-13 01:48:54.82 , [INFO],Judge Storage:L,19,0,0,239,0
2023-09-13 01:48:55.85 , [INFO],Judge Storage:L,20,0,0,241,0
2023-09-13 01:48:56.88 , [INFO],Judge Storage:L,20,0,0,243,0
2023-09-13 01:48:57.90 , [INFO],Judge Storage:L,19,0,0,245,0
2023-09-13 01:48:58.93 , [INFO],Judge Storage:L,20,0,0,247,0
2023-09-13 01:48:59.100, [INFO],Judge Storage:L,20,0,0,248,0
2023-09-13 01:49:00.103, [INFO],Judge Storage:L,20,0,0,250,0
2023-09-13 01:49:01.105, [INFO],Judge Storage:L,19,0,0,252,0
2023-09-13 01:49:02.108, [INFO],Judge Storage:L,19,0,0,254,0
2023-09-13 01:49:03.111, [INFO],Judge Storage:L,20,0,0,256,0
2023-09-13 01:49:04.118, [INFO],Judge Storage:L,19,0,0,257,0
2023-09-13 01:49:05.121, [INFO],Judge Storage:L,20,0,0,259,0
2023-09-13 01:49:06.124, [INFO],Judge Storage:L,19,0,0,261,0
2023-09-13 01:49:07.126, [INFO],Judge Storage:L,20,0,0,263,0
2023-09-13 01:49:08.129, [INFO],Judge Storage:L,20,0,0,264,0
2023-09-13 01:49:09.137, [INFO],Judge Storage:L,20,0,0,266,0
2023-09-13 01:49:10.140, [INFO],Judge Storage:L,20,0,0,268,0
2023-09-13 01:49:11.142, [INFO],Judge Storage:L,20,0,0,270,0
2023-09-13 01:49:12.145, [INFO],Judge Storage:L,20,0,0,272,0
2023-09-13 01:49:13.147, [INFO],Judge Storage:L,20,0,0,273,0
2023-09-13 01:49:14.154, [INFO],Judge Storage:L,20,0,0,275,0
2023-09-13 01:49:15.157, [INFO],Judge Storage:L,20,0,0,277,0
2023-09-13 01:49:16.159, [INFO],Judge Storage:L,20,0,0,279,0
2023-09-13 01:49:17.162, [INFO],Judge Storage:L,19,0,0,281,0
2023-09-13 01:49:18.165, [INFO],Judge Storage:L,20,0,0,282,0
2023-09-13 01:49:19.171, [INFO],Judge Storage:L,19,0,0,284,0
2023-09-13 01:49:20.174, [INFO],Judge Storage:L,20,0,0,286,0
2023-09-13 01:49:21.176, [INFO],Judge Storage:L,20,0,0,288,0
2023-09-13 01:49:22.179, [INFO],Judge Storage:L,19,0,0,290,0
2023-09-13 01:49:23.182, [INFO],Judge Storage:L,19,0,0,291,0
2023-09-13 01:49:24.189, [INFO],Judge Storage:L,18,0,0,293,0
2023-09-13 01:49:25.192, [INFO],Judge Storage:L,19,0,0,295,0
2023-09-13 01:49:26.194, [INFO],Judge Storage:L,28,0,0,297,0
2023-09-13 01:49:27.197, [INFO],Judge Storage:L,51,0,0,298,0
2023-09-13 01:49:28.200, [INFO],Judge Storage:L,35,0,0,300,0
2023-09-13 01:49:29.208, [INFO],Judge Storage:L,48,0,0,302,0
2023-09-13 01:49:30.210, [INFO],Judge Storage:L,49,0,0,304,0
2023-09-13 01:49:31.213, [INFO],Judge Storage:L,49,0,0,306,0
2023-09-13 01:49:32.216, [INFO],Judge Storage:L,47,0,0,307,0
2023-09-13 01:49:33.218, [INFO],Judge Storage:L,38,0,0,309,0
2023-09-13 01:49:34.225, [INFO],Judge Storage:L,45,0,0,311,0
2023-09-13 01:49:35.228, [INFO],Judge Storage:L,48,0,0,313,0
2023-09-13 01:49:36.231, [INFO],Judge Storage:L,43,0,0,315,0
2023-09-13 01:49:37.233, [INFO],Judge Storage:L,47,0,0,316,0
2023-09-13 01:49:38.236, [INFO],Judge Storage:L,30,0,0,318,0
2023-09-13 01:49:39.243, [INFO],Judge Storage:L,32,0,0,320,0
2023-09-13 01:49:40.246, [INFO],Judge Storage:L,44,0,0,322,0
2023-09-13 01:49:41.248, [INFO],Judge Storage:L,42,0,0,323,0
2023-09-13 01:49:42.251, [INFO],Judge Storage:L,36,0,0,325,0
2023-09-13 01:49:43.253, [INFO],Judge Storage:L,36,0,0,327,0
2023-09-13 01:49:44.260, [INFO],Judge Storage:L,31,0,0,329,0
2023-09-13 01:49:45.263, [INFO],Judge Storage:L,25,0,0,331,0
2023-09-13 01:49:46.265, [INFO],Judge Storage:L,30,0,0,332,0
2023-09-13 01:49:47.268, [INFO],Judge Storage:L,28,0,0,334,0
2023-09-13 01:49:48.271, [INFO],Judge Storage:L,40,0,0,336,0
2023-09-13 01:49:49.278, [INFO],Judge Storage:L,48,0,0,338,0
2023-09-13 01:49:50.280, [INFO],Judge Storage:L,39,0,0,340,0
2023-09-13 01:49:51.283, [INFO],Judge Storage:L,25,0,0,341,0
2023-09-13 01:49:52.285, [INFO],Judge Storage:L,21,0,0,343,0
2023-09-13 01:49:53.288, [INFO],Judge Storage:L,21,0,0,345,0
2023-09-13 01:49:54.296, [INFO],Judge Storage:L,23,0,0,347,0
2023-09-13 01:49:55.299, [INFO],Judge Storage:L,22,0,0,349,0
2023-09-13 01:49:56.301, [INFO],Judge Storage:L,21,0,0,350,0
2023-09-13 01:49:57.304, [INFO],Judge Storage:L,22,0,0,352,0
2023-09-13 01:49:58.306, [INFO],Judge Storage:L,24,0,0,354,0
2023-09-13 01:49:59.313, [INFO],Judge Storage:L,22,0,0,356,0
2023-09-13 01:50:00.316, [INFO],Judge Storage:L,24,0,0,357,0
2023-09-13 01:50:01.318, [INFO],Judge Storage:L,23,0,0,359,0
2023-09-13 01:50:02.321, [INFO],Judge Storage:L,27,0,0,361,0
2023-09-13 01:50:03.323, [INFO],Judge Storage:L,28,0,0,363,0
2023-09-13 01:50:04.331, [INFO],Judge Storage:L,27,0,0,365,0
2023-09-13 01:50:05.334, [INFO],Judge Storage:L,26,0,0,366,0
2023-09-13 01:50:06.336, [INFO],Judge Storage:L,25,0,0,368,0
2023-09-13 01:50:07.339, [INFO],Judge Storage:L,26,0,0,370,0
2023-09-13 01:50:08.341, [INFO],Judge Storage:L,27,0,0,372,0
2023-09-13 01:50:09.349, [INFO],Judge Storage:L,38,0,0,374,0
2023-09-13 01:50:10.352, [INFO],Judge Storage:L,45,0,0,375,0
2023-09-13 01:50:11.354, [INFO],Judge Storage:L,45,0,0,377,0
2023-09-13 01:50:12.357, [INFO],Judge Storage:L,35,0,0,379,0
2023-09-13 01:50:13.359, [INFO],Judge Storage:L,52,0,0,381,0
2023-09-13 01:50:14.367, [INFO],Judge Storage:L,34,0,0,382,0
2023-09-13 01:50:15.369, [INFO],Judge Storage:L,44,0,0,384,0
2023-09-13 01:50:16.372, [INFO],Judge Storage:L,41,0,0,386,0
2023-09-13 01:50:17.375, [INFO],Judge Storage:L,27,0,0,388,0
2023-09-13 01:50:18.377, [INFO],Judge Storage:L,27,0,0,390,0
2023-09-13 01:50:19.385, [INFO],Judge Storage:L,26,0,0,391,0
2023-09-13 01:50:20.388, [INFO],Judge Storage:L,25,0,0,393,0
2023-09-13 01:50:21.390, [INFO],Judge Storage:L,24,0,0,395,0
2023-09-13 01:50:22.393, [INFO],Judge Storage:L,23,0,0,397,0
2023-09-13 01:50:23.396, [INFO],Judge Storage:L,23,0,0,399,0
2023-09-13 01:50:24.403, [INFO],Judge Storage:L,23,0,0,400,0
2023-09-13 01:50:25.406, [INFO],Judge Storage:L,23,0,0,402,0
2023-09-13 01:50:26.408, [INFO],Judge Storage:L,23,0,0,404,0
2023-09-13 01:50:27.411, [INFO],Judge Storage:L,23,0,0,406,0
2023-09-13 01:50:28.414, [INFO],Judge Storage:L,23,0,0,408,0
2023-09-13 01:50:29.421, [INFO],Judge Storage:L,23,0,0,409,0
2023-09-13 01:50:30.424, [INFO],Judge Storage:L,23,0,0,411,0
2023-09-13 01:50:31.426, [INFO],Judge Storage:L,23,0,0,413,0
2023-09-13 01:50:32.429, [INFO],Judge Storage:L,23,0,0,415,0
2023-09-13 01:50:33.431, [INFO],Judge Storage:L,23,0,0,416,0
2023-09-13 01:50:34.438, [INFO],Judge Storage:L,23,0,0,418,0
2023-09-13 01:50:35.441, [INFO],Judge Storage:L,23,0,0,420,0
2023-09-13 01:50:36.444, [INFO],Judge Storage:L,23,0,0,422,0
2023-09-13 01:50:37.446, [INFO],Judge Storage:L,23,0,0,424,0
2023-09-13 01:50:38.449, [INFO],Judge Storage:L,23,0,0,425,0
2023-09-13 01:50:39.456, [INFO],Judge Storage:L,23,0,0,427,0
2023-09-13 01:50:40.459, [INFO],Judge Storage:L,23,0,0,429,0
2023-09-13 01:50:41.461, [INFO],Judge Storage:L,23,0,0,431,0
2023-09-13 01:50:42.464, [INFO],Judge Storage:L,23,0,0,433,0
2023-09-13 01:50:43.466, [INFO],Judge Storage:L,23,0,0,434,0
2023-09-13 01:50:44.469, [INFO],Judge Storage:L,23,0,0,436,0
2023-09-13 01:50:45.471, [INFO],Judge Storage:L,23,0,0,438,0
2023-09-13 01:50:46.474, [INFO],Judge Storage:L,23,0,0,440,0
2023-09-13 01:50:47.476, [INFO],Judge Storage:L,23,0,0,441,0
2023-09-13 01:50:48.485, [INFO],Judge Storage:L,23,0,0,443,0
2023-09-13 01:50:49.487, [INFO],Judge Storage:L,23,0,0,445,0
2023-09-13 01:50:50.490, [INFO],Judge Storage:L,23,0,0,447,0
2023-09-13 01:50:51.492, [INFO],Judge Storage:L,23,0,0,449,0
2023-09-13 01:50:52.495, [INFO],Judge Storage:L,22,0,0,450,0
2023-09-13 01:50:53.503, [INFO],Judge Storage:L,23,0,0,452,0
2023-09-13 01:50:54.505, [INFO],Judge Storage:L,22,0,0,454,0
2023-09-13 01:50:55.508, [INFO],Judge Storage:L,23,0,0,456,0
2023-09-13 01:50:56.510, [INFO],Judge Storage:L,23,0,0,458,0
2023-09-13 01:50:57.513, [INFO],Judge Storage:L,23,0,0,459,0
2023-09-13 01:50:58.520, [INFO],Judge Storage:L,23,0,0,461,0
